>Livro: 1234567891 | Emprestado: 27-05-2022 06:40:03 am | Por: paulo | 
>Livro: 1234567891 | Emprestado: 27-05-2022 06:40:04 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 27-05-2022 06:40:05 am | Por: paulo | 
>Livro: 1234567890 | Emprestado: 31-05-2022 05:23:35 am | Por: paulo | 
>Livro: 1234567891 | Emprestado: 31-05-2022 05:23:37 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:23:38 am | Por: paulo | 
>Livro: 1234567890 | Emprestado: 31-05-2022 05:24:12 am | Por: paulo | 
>Livro: 1234567890 | Emprestado: 31-05-2022 05:24:13 am | Por: paulo | 
>Livro: 1234567890 | Emprestado: 31-05-2022 05:24:13 am | Por: paulo | 
>Livro: 1234567890 | Emprestado: 31-05-2022 05:24:13 am | Por: paulo | 
>Livro: 1234567891 | Emprestado: 31-05-2022 05:24:23 am | Por: paulo | 
>Livro: 1234567891 | Emprestado: 31-05-2022 05:24:23 am | Por: paulo | 
>Livro: 1234567891 | Emprestado: 31-05-2022 05:24:23 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:24:31 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:24:31 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:24:32 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:24:32 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:24:32 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:24:32 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:24:32 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:24:32 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:24:32 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:24:33 am | Por: paulo | 
>Livro: 1234567891 | Emprestado: 31-05-2022 05:24:33 am | Por: paulo | 
>Livro: 1234567891 | Emprestado: 31-05-2022 05:24:33 am | Por: paulo | 
>Livro: 1234567891 | Emprestado: 31-05-2022 05:24:34 am | Por: paulo | 
>Livro: 1234567890 | Emprestado: 31-05-2022 05:24:34 am | Por: paulo | 
>Livro: 1234567891 | Emprestado: 31-05-2022 05:24:34 am | Por: paulo | 
>Livro: 1234567892 | Emprestado: 31-05-2022 05:24:35 am | Por: paulo | 
